note: Rosetta 2 hides avx2 bmi2 bmi movbe lzcnt fma f16c from CPUID but executes it; continuing

*** Running under Rosetta 2: x86 code is being translated to ARM.
*** Use these numbers for smoke-testing only; benchmark on native x86-64.

2026-09-24T22:30:02+08:00
Running ./build/bm_itch_avx2
Run on (15 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 8192 KiB (x15)
Load Average: 4.62, 4.67, 4.49
WARNING: running under Rosetta 2 translation: timings are NOT representative
itch_simd_level: AVX2
----------------------------------------------------------------------------------------------------------------------
Benchmark                                                            Time             CPU   Iterations UserCounters...
BM_LevelSearch/branchless_binary/depth:512/uniform:1_stddev      0.301 ns        0.298 ns            3 items_per_second=497.889k/s
BM_LevelSearch/branchless_binary/depth:512/uniform:1_cv           1.23 %          1.22 %             3 items_per_second=1.22%
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_mean            1.98 ns         1.98 ns            3 items_per_second=505.005M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_median          1.98 ns         1.98 ns            3 items_per_second=505.036M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_stddev         0.020 ns        0.020 ns            3 items_per_second=5.03979M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:0_cv              1.02 %          1.00 %             3 items_per_second=1.00%
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_mean            2.29 ns         2.29 ns            3 items_per_second=437.612M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_median          2.28 ns         2.28 ns            3 items_per_second=439.374M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_stddev         0.016 ns        0.017 ns            3 items_per_second=3.16525M/s
BM_LevelSearch/scalar_from_back/depth:8/uniform:1_cv              0.72 %          0.73 %             3 items_per_second=0.72%
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_mean           2.13 ns         2.12 ns            3 items_per_second=471.454M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_median         2.11 ns         2.11 ns            3 items_per_second=474.887M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_stddev        0.050 ns        0.048 ns            3 items_per_second=10.5667M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:0_cv             2.36 %          2.26 %             3 items_per_second=2.24%
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_mean           8.84 ns         8.83 ns            3 items_per_second=113.259M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_median         8.82 ns         8.81 ns            3 items_per_second=113.498M/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_stddev        0.052 ns        0.053 ns            3 items_per_second=674.233k/s
BM_LevelSearch/scalar_from_back/depth:32/uniform:1_cv             0.59 %          0.60 %             3 items_per_second=0.60%
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_mean          2.09 ns         2.09 ns            3 items_per_second=479.06M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_median        2.09 ns         2.08 ns            3 items_per_second=479.635M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_stddev       0.007 ns        0.006 ns            3 items_per_second=1.42195M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:0_cv            0.31 %          0.30 %             3 items_per_second=0.30%
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_mean          24.4 ns         24.4 ns            3 items_per_second=41.0297M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_median        24.4 ns         24.4 ns            3 items_per_second=41.0557M/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_stddev       0.061 ns        0.061 ns            3 items_per_second=103.135k/s
BM_LevelSearch/scalar_from_back/depth:128/uniform:1_cv            0.25 %          0.25 %             3 items_per_second=0.25%
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_mean          2.09 ns         2.09 ns            3 items_per_second=478.164M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_median        2.09 ns         2.09 ns            3 items_per_second=478.541M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_stddev       0.018 ns        0.018 ns            3 items_per_second=4.13247M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:0_cv            0.87 %          0.87 %             3 items_per_second=0.86%
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_mean          35.7 ns         35.7 ns            3 items_per_second=28.0166M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_median        35.7 ns         35.6 ns            3 items_per_second=28.0698M/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_stddev       0.120 ns        0.118 ns            3 items_per_second=92.6958k/s
BM_LevelSearch/scalar_from_back/depth:512/uniform:1_cv            0.34 %          0.33 %             3 items_per_second=0.33%
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_mean              2.75 ns         2.75 ns            3 items_per_second=364.091M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_median            2.75 ns         2.75 ns            3 items_per_second=363.878M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_stddev           0.004 ns        0.004 ns            3 items_per_second=499.02k/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:0_cv                0.15 %          0.14 %             3 items_per_second=0.14%
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_mean              2.83 ns         2.83 ns            3 items_per_second=353.913M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_median            2.82 ns         2.82 ns            3 items_per_second=354.379M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_stddev           0.011 ns        0.011 ns            3 items_per_second=1.37841M/s
BM_LevelSearch/sse2_from_back/depth:8/uniform:1_cv                0.40 %          0.39 %             3 items_per_second=0.39%
